start_station_id,month,average_per_month,start_lng,start_lat,heat
13001,6,3312.0,-87.6246839761734,41.8839840647265,0.22
13006,6,1104.0,-87.63217783333333,41.882794,0.07
13008,6,5222.0,-87.624081969,41.881274462,0.35
13011,6,2697.0,-87.639904,41.879255,0.18
13016,6,3217.0,-87.62279838323593,41.89434513742426,0.22
13017,6,2077.0,-87.63566762208939,41.896746973093805,0.14
13021,6,2337.0,-87.641823,41.885637,0.16
13022,6,12419.0,-87.612043,41.892278,0.84
13028,6,1092.0,-87.649807,41.874754,0.07
13029,6,1262.0,-87.618002,41.86529733333333,0.09
13033,6,2134.0,-87.648227572,41.891461611,0.14
13034,6,1378.0,-87.62351,41.89766,0.09
13036,6,1472.0,-87.625125,41.882134,0.1
13037,6,511.0,-87.64073658,41.875874877,0.03
13042,6,6868.0,-87.62377664,41.90096039,0.46
13045,6,3460.0,-87.62911266666667,41.8942485,0.23
13050,6,2034.0,-87.627345204,41.888664007,0.14
13053,6,1039.0,-87.64880633333334,41.88317716666667,0.07
13056,6,1205.0,-87.63953,41.88169,0.08
13058,6,1591.0,-87.64944116666666,41.910535333333335,0.11
13059,6,2008.0,-87.65211083333334,41.917988666666666,0.14
13061,6,3404.0,-87.667747,41.90345,0.23
13063,6,2569.0,-87.654406,41.954245,0.17
13068,6,1607.0,-87.687022,41.91552,0.11
13071,6,3096.0,-87.66402,41.943739,0.21
13073,6,835.0,-87.66717,41.88592,0.06
13074,6,1650.0,-87.658139,41.965221,0.11
13075,6,1373.0,-87.63193130493164,41.85308455741279,0.09
13080,6,564.0,-87.669886,41.871514,0.04
13081,6,451.0,-87.67324933333333,41.875049833333335,0.03
13083,6,56.0,-87.6216,41.82168,0.0
13084,6,2000.0,-87.697153,41.922695,0.14
13085,6,2166.0,-87.707909,41.929516166666666,0.15
13089,6,435.0,-87.67569959163664,41.854966518753926,0.03
13091,6,223.0,-87.6858285,41.8540725,0.02
13096,6,159.0,-87.69574239850043,41.8538040657915,0.01
13099,6,543.0,-87.64599144458771,41.85750568031716,0.04
13102,6,1371.0,-87.619386435,41.857661605,0.09
13108,6,1379.0,-87.65966,41.973815,0.09
13109,6,1240.0,-87.659753,41.978353,0.08
13124,6,1218.0,-87.6344505,41.92676566666667,0.08
13128,6,2055.0,-87.63189733333333,41.911998,0.14
13132,6,1532.0,-87.67722,41.895769,0.1
13133,6,1896.0,-87.677335,41.915983,0.13
13134,6,371.0,-87.674886,41.88142283333333,0.03
13135,6,859.0,-87.661535,41.857556,0.06
13136,6,1284.0,-87.67851833333333,41.90330133333333,0.09
13137,6,4342.0,-87.6440978050232,41.93758231600629,0.29
13138,6,1301.0,-87.639366,41.877245,0.09
13139,6,968.0,-87.659111381,41.868761897,0.07
13143,6,555.0,-87.6785,41.9406,0.04
13144,6,914.0,-87.679618,41.943403,0.06
13146,6,4714.0,-87.63628783333333,41.91831416666667,0.32
13150,6,1449.0,-87.62455,41.857813,0.1
